Molecule Name,∆LFQ,Std. Dev.,P-Value,Molecule Type
KEL3 (YPL263c),-0.22112,0.145936,0.085022165,PROTEIN
LSC2 (YGR244c),-0.235091,0.161131,0.085024045,PROTEIN
ISD11 (YER048w-a),-0.289581,0.0964661,0.085149756,PROTEIN
RPL24A (YGL031c),-0.690261,0.451447,0.085477961,PROTEIN
MES1 (YGR264C),-0.191532,0.108795,0.085781257,PROTEIN
NOP12 (YOL041c),-0.216944,0.101481,0.085786633,PROTEIN
RPC34 (YNR003c),-0.433521,0.327466,0.085826088,PROTEIN
YPR127W (YPR127w),0.399597,0.153261,0.085978531,PROTEIN
BIO2 (YGR286c),-1.01268,0.763988,0.086163504,PROTEIN
FSH3 (YOR280c),0.359473,0.231301,0.086172627,PROTEIN
MPM1 (YJL066c),0.821278,0.117797,0.086451965,PROTEIN
HBN1 (YCL026c-b),1.02249,0.231786,0.086588601,PROTEIN
EFT1 (YDR385wYOR133w),-0.214583,0.0439118,0.0868979,PROTEIN
CAM1 (YPL048w),0.151449,0.0589798,0.086989185,PROTEIN
Unidentified metabolite. RT 14.9635 (F),0.434299,0.29066,0.087397529,METABOLITE
YMC2 (YBR104w),-1.07204,0.736195,0.087548569,PROTEIN
TIF4631 (YGR162w),-0.220981,0.135843,0.087554837,PROTEIN
UBX7 (YBR273c),0.201824,0.0623769,0.087613725,PROTEIN
PRP21 (YJL203w),-0.447887,0.321514,0.08770789,PROTEIN
YBR053C (YBR053c),0.383343,0.196754,0.087765224,PROTEIN
SUR4 (YLR372w),-0.612972,0.26246,0.088156621,PROTEIN
ALF1 (YNL148c),0.645057,0.297348,0.088182658,PROTEIN
GLC7 (YER133w),-0.180564,0.117616,0.088278878,PROTEIN
YNL134C (YNL134c),0.325382,0.20844,0.088454881,PROTEIN
PIM1 (YBL022c),0.162534,0.108072,0.088586946,PROTEIN
END3 (YNL084c),0.140329,0.105659,0.088660768,PROTEIN
TDH1 (YJL052W),0.891975,0.540627,0.088701941,PROTEIN
RPN1 (YHR027C),0.0920717,0.0445653,0.089247279,PROTEIN
SOD1 (YJR104C),0.446397,0.255827,0.089312375,PROTEIN
FMP52 (YER004w),0.363506,0.275293,0.089414551,PROTEIN
OPI10 (YOL032w),0.293403,0.0705421,0.089594328,PROTEIN
YMR226C (YMR226c),0.192094,0.104265,0.089892273,PROTEIN
NUP42 (YDR192c),0.440815,0.112716,0.090304215,PROTEIN
NAS6 (YGR232w),0.215334,0.157211,0.090601788,PROTEIN
RPC31 (YNL151c),-0.573695,0.398004,0.090662253,PROTEIN
NCS6 (YGL211w),-0.456695,0.327948,0.090708078,PROTEIN
MRPL4 (YLR439w),-0.449433,0.333396,0.090730134,PROTEIN
ZWF1 (YNL241C),0.201215,0.109782,0.090976255,PROTEIN
IRA1 (YBR140c),0.347887,0.27057,0.091021648,PROTEIN
SPC24 (YMR117c),-0.351879,0.129931,0.091152893,PROTEIN
RCY1 (YJL204c),0.214039,0.0243542,0.091238956,PROTEIN
RAD52 (YML032C),0.206783,0.045704,0.092211389,PROTEIN
YCF1 (YDR135c),0.137327,0.0966322,0.092278579,PROTEIN
CAF120 (YNL278w),0.818106,0.0743261,0.092309381,PROTEIN
TRP3 (YKL211c),0.105571,0.0711257,0.092322027,PROTEIN
PHB1 (YGR132c),-0.371431,0.138213,0.092373806,PROTEIN
CIR1 (YGR207c),0.22363,0.144406,0.092427211,PROTEIN
YAP3 (YHL009c),0.999572,0.650277,0.09317468,PROTEIN
INM2 (YDR287w),1.62028,0.287801,0.093178433,PROTEIN
ENP1 (YBR247c),-0.171481,0.126839,0.093277752,PROTEIN
XRN1 (YGL173c),0.153515,0.111376,0.093334229,PROTEIN
SPC1 (YJR010c-a),0.40037,0.22318,0.093823586,PROTEIN
TMA22 (YJR014w),-0.220044,0.0868848,0.093909124,PROTEIN
RPL30 (YGL030W),-0.584732,0.443406,0.094663179,PROTEIN
IDH2 (YOR136w),0.301451,0.157494,0.094686982,PROTEIN
RRP15 (YPR143w),-0.228365,0.144779,0.094807915,PROTEIN
RRP43 (YCR035c),0.299904,0.153396,0.094840842,PROTEIN
POL2 (YNL262w),-0.168409,0.131944,0.095258455,PROTEIN
KGD2 (YDR148c),-0.397558,0.265133,0.095579648,PROTEIN
SAP190 (YKR028W),-0.159044,0.0800335,0.095769022,PROTEIN
SOK1 (YDR006c),-0.673675,0.536814,0.095787346,PROTEIN
URA5 (YML106w),-0.11934,0.0895875,0.096252026,PROTEIN
PIN3 (YPR154w),0.250469,0.139498,0.096769019,PROTEIN
VMA6 (YLR447c),-0.253066,0.200892,0.096917139,PROTEIN
GRX5 (YPL059w),-0.486983,0.199475,0.096982669,PROTEIN
YGR012W (YGR012w),-0.221881,0.154065,0.097014738,PROTEIN
Homoserine,0.126797,0.0687873,0.097288053,METABOLITE
MEU1 (YLR017w),-0.214456,0.160703,0.097370051,PROTEIN
WHI4 (YDL224c),0.17728,0.107748,0.097526383,PROTEIN
HSC82 (YMR186W),0.183757,0.0719164,0.097586781,PROTEIN
CPD1 (YGR247w),0.586266,0.382073,0.097704166,PROTEIN
SMD1 (YGR074w),-1.86578,1.44118,0.098378522,PROTEIN
EAF3 (YPR023c),-0.254236,0.148673,0.098476378,PROTEIN
RCF2 (YNR018w),0.332634,0.100188,0.098697538,PROTEIN
HCR1 (YLR192c),0.168157,0.124256,0.099241752,PROTEIN
FUS3 (YBL016w),-0.474018,0.350681,0.099469847,PROTEIN
UBP14 (YBR058c),-0.145799,0.0875055,0.099532637,PROTEIN
CIR2 (YOR356w),-0.210699,0.16599,0.099564991,PROTEIN
MAL12;MAL32 (YGR292W;YBR299w),0.860707,0.214827,0.099734562,PROTEIN
GIP3 (YPL137c),0.377771,0.270551,0.099773466,PROTEIN
NTE1 (YML059c),0.354047,0.264749,0.099944575,PROTEIN
IML1 (YJR138w),-0.98226,0.560178,0.10003285,PROTEIN
MAK5 (YBR142w),-0.161862,0.119805,0.100072173,PROTEIN
CRZ1 (YNL027w),0.940857,0.537213,0.100502618,PROTEIN
RPS18B;RPS18A (YML026C;YDR450W),-0.145775,0.102422,0.100544596,PROTEIN
TRM5 (YHR070w),-0.270599,0.216132,0.100561168,PROTEIN
WHI2 (YOR043w),-0.230288,0.127538,0.101317077,PROTEIN
SPT2 (YER161c),0.172854,0.109577,0.101341667,PROTEIN
YMC1 (YPR058w),-0.933737,0.7542,0.101762148,PROTEIN
FET4 (YMR319c),-1.02794,0.832894,0.10201906,PROTEIN
SCD6 (YPR129w),-0.119718,0.0764633,0.102031171,PROTEIN
PSP2 (YML017w),-0.196986,0.160548,0.102593683,PROTEIN
KTR6 (YPL053c),-0.288977,0.222105,0.102829346,PROTEIN
Unidentified metabolite. RT 8.2786 (F),-0.634116,0.408506,0.10292062,METABOLITE
NIP7 (YPL211w),-0.334855,0.159838,0.103954079,PROTEIN
RPS9B (YBR189W),-0.109753,0.0865224,0.104003202,PROTEIN
YTA12 (YMR089c),-0.247861,0.197727,0.104074959,PROTEIN
DPS1 (YLL018C),-0.0967616,0.0642361,0.104079086,PROTEIN
Unidentified metabolite. RT 5.696 (R),-0.0871922,0.0441325,0.104469306,METABOLITE
Biotin (R),-0.401974,0.327337,0.104533291,METABOLITE
TRM112 (YNR046w),-0.229179,0.147843,0.104657309,PROTEIN
CDC37 (YDR168w),0.0977988,0.0544205,0.105182863,PROTEIN
IKI3 (YLR384c),-0.138889,0.081912,0.105342085,PROTEIN
GYP6 (YJL044c),-0.272755,0.0783163,0.105576534,PROTEIN
FOL2 (YGR267c),-0.182625,0.091597,0.10618649,PROTEIN
CAN1 (YEL063c),-0.553793,0.451476,0.106232932,PROTEIN
d-Aminolevulinic acid,-0.204234,0.0514012,0.106429816,METABOLITE
YDL086W (YDL086w),0.206066,0.15627,0.10661078,PROTEIN
MTR2 (YKL186c1),-0.424243,0.316691,0.106674483,PROTEIN
RAX1 (YOR301w),0.56668,0.168761,0.106741181,PROTEIN
ASN1 (YPR145W),-0.185111,0.10277,0.106958443,PROTEIN
SAH1 (YER043c),-0.239529,0.180134,0.107011821,PROTEIN
UTP14 (YML093w),-0.190063,0.151782,0.107177047,PROTEIN
ABD1 (YBR236c),0.519004,0.397838,0.10724073,PROTEIN
NHP6A (YPR052c),-0.227532,0.0466007,0.107344372,PROTEIN
VTS1 (YOR359w),-0.400805,0.275494,0.107986886,PROTEIN
SCP1 (YOR367w),0.22414,0.0938392,0.108019366,PROTEIN
VMA2 (YBR127c),-0.168859,0.137513,0.108100115,PROTEIN
PHO85 (YPL031c),0.148768,0.0431513,0.108489355,PROTEIN
RSE1 (YML049c),0.310937,0.253658,0.108633872,PROTEIN
EMG1 (YLR186w),-0.280079,0.0751742,0.109261954,PROTEIN
AGE2 (YIL044c),0.430191,0.323539,0.10946979,PROTEIN
TRS31 (YDR472w),-0.2169,0.0823357,0.109589146,PROTEIN
ERP5 (YHR110w),-0.634224,0.486308,0.109687088,PROTEIN
Unidentified metabolite. RT 23.3406 (R),-0.24043,0.18134,0.109831486,METABOLITE
ARO10 (YDR380w),-0.965666,0.188896,0.110181664,PROTEIN
ALG13 (YGL047w),0.318737,0.125922,0.110307551,PROTEIN
BRE5 (YNR051c),0.204073,0.14889,0.110561164,PROTEIN
PC(16:0/16:1),0.236209,0.175766,0.110744278,LIPID
TGL4 (YKR089c),-0.336777,0.111437,0.110889093,PROTEIN
KRI1 (YNL308c),0.126916,0.0738063,0.110953354,PROTEIN
CDC12 (YHR107c),-0.0963789,0.0272258,0.110980984,PROTEIN
SDA1 (YGR245c),-0.25459,0.0570225,0.111111291,PROTEIN
DST1 (YGL043w),-0.156872,0.128645,0.111132341,PROTEIN
RAM2 (YKL019w),0.228134,0.152332,0.1113784,PROTEIN
Unidentified metabolite. RT 15.7361 (F),0.393872,0.24557,0.112164967,METABOLITE
TOR2 (YKL203c),0.507776,0.376532,0.112390085,PROTEIN
MAS2 (YHR024c),-0.149955,0.126499,0.112631201,PROTEIN
PUB1 (YNL016W),-0.367427,0.303953,0.113272171,PROTEIN
SEC14 (YMR079W),-0.208076,0.0945799,0.113295838,PROTEIN
ENO1 (YGR254W),0.40619,0.221858,0.113599793,PROTEIN
OSH2 (YDL019c),0.270042,0.147394,0.113809213,PROTEIN
DIS3 (YOL021c),-0.242035,0.207768,0.113879628,PROTEIN
TAF11 (YML015c),0.479609,0.143568,0.114003387,PROTEIN
YBR056W (YBR056w),0.514658,0.23051,0.114191144,PROTEIN
ADD37 (YMR184w),0.618754,0.31513,0.11424271,PROTEIN
UTP9 (YHR196w),-0.160211,0.099872,0.114352726,PROTEIN
LEM3 (YNL323w),0.181606,0.0684516,0.114600172,PROTEIN
BUD23 (YCR047c),-0.384034,0.230633,0.114607595,PROTEIN
RTG3 (YBL103c),0.664182,0.397183,0.114748066,PROTEIN
EMP24 (YGL200c),-0.187024,0.0834713,0.114819118,PROTEIN
NOC3 (YLR002c),-0.22128,0.150396,0.115135057,PROTEIN
ELF1 (YKL160w),-1.40186,1.16497,0.115246477,PROTEIN
IMG1 (YCR046c),-0.329777,0.23503,0.115412568,PROTEIN
NUG1 (YER006w),-0.267686,0.230537,0.115554656,PROTEIN
MCA1 (YOR197w),0.314508,0.218054,0.115802744,PROTEIN
GET1 (YGL020c),0.243258,0.205106,0.116104494,PROTEIN
FPS1 (YLL043w),-0.17367,0.111623,0.116236376,PROTEIN
KTR3 (YBR205w),0.133742,0.0426243,0.116301308,PROTEIN
LSM2 (YBL026w),0.247563,0.214313,0.116867809,PROTEIN
DUO1 (YGL061c),0.913005,0.703724,0.11707505,PROTEIN
VMA11 (YPL234c),1.96605,0.310472,0.117811944,PROTEIN
PMA1;PMA2 (YGL008c;YPL036w),-0.164959,0.0711972,0.11799435,PROTEIN
RFC3 (YNL290w),-0.167812,0.0728751,0.118235058,PROTEIN
DPH1 (YIL103w),0.533969,0.0555497,0.118423167,PROTEIN
EPL1 (YFL024c),-4.49746,3.91948,0.118520425,PROTEIN
SEH1 (YGL100w),0.232795,0.199493,0.118583495,PROTEIN
GUP1 (YGL084c),0.357101,0.122956,0.119244672,PROTEIN
Ornithine (3TMS),0.471668,0.262356,0.119340863,METABOLITE
FOL1 (YNL256w),-0.182583,0.0863275,0.11964904,PROTEIN
DOP1 (YDR141c),0.122515,0.0942164,0.119926184,PROTEIN
SIS2 (YKR072c),-0.177507,0.0484243,0.120057238,PROTEIN
STE5 (YDR103w),-0.788796,0.66718,0.120405412,PROTEIN
PRE1 (YER012w),0.190407,0.0726251,0.120685595,PROTEIN
GLC8 (YMR311c),0.242044,0.133259,0.120838636,PROTEIN
TFG1 (YGR186w),0.27279,0.226323,0.120859407,PROTEIN
RPS30B;RPS30A (YOR182C;YLR287C-A),-0.712816,0.21882,0.121215307,PROTEIN
PIK1 (YNL267w),-0.356579,0.254865,0.121480537,PROTEIN
2-phosphoglyceric acid,-0.28582,0.131879,0.12164034,METABOLITE
RPT3 (YDR394W),0.127551,0.0782001,0.121653985,PROTEIN
PST2 (YDR032c),0.48628,0.38119,0.121655833,PROTEIN
DHH1 (YDL160c),-0.183693,0.117644,0.121716037,PROTEIN
YBR085C-A (YBR085c-a),0.740418,0.380068,0.12210124,PROTEIN
YNL035C (YNL035c),-0.25801,0.105931,0.123458874,PROTEIN
ATM1 (YMR301c),-1.36173,1.092,0.123727709,PROTEIN
GDH1 (YOR375c),-0.165174,0.0737141,0.123818297,PROTEIN
Guanine,0.118488,0.0820996,0.123947332,METABOLITE
PGI1 (YBR196C),0.0907199,0.0199208,0.12439934,PROTEIN
PE(18:1/16:0),0.222689,0.0970611,0.124594083,LIPID
YLR225C (YLR225c),0.391707,0.316078,0.124842932,PROTEIN
BMH2 (YDR099W),0.541651,0.383801,0.125175875,PROTEIN
IMD3 (YLR432w),-0.257311,0.160181,0.125315312,PROTEIN
PAA1 (YDR071c),0.0955834,0.0843693,0.125636093,PROTEIN
AML1 (YGR001c),-0.154179,0.0791048,0.125879808,PROTEIN
BDP1 (YNL039w),-1.19832,1.04041,0.126100097,PROTEIN
NSA1 (YGL111w),-0.201922,0.169476,0.126505812,PROTEIN
CDC8 (YJR057w),-0.629723,0.502718,0.126644843,PROTEIN
TDH2 (YJR009C),0.510537,0.440211,0.126775259,PROTEIN
DAL81 (YIR023w),1.01852,0.125035,0.127371278,PROTEIN
SNU13 (YEL026w),-0.145244,0.125365,0.127462867,PROTEIN
TFC4 (YGR047c),0.44649,0.298042,0.127471494,PROTEIN
ATP3 (YBR039w),-0.16365,0.121284,0.127564101,PROTEIN
IDH1 (YNL037c),0.370372,0.0642381,0.127581142,PROTEIN
PBA1 (YLR199c),0.200047,0.125097,0.127694465,PROTEIN
SDO1 (YLR022c),-0.376451,0.325867,0.127786018,PROTEIN
HIS2 (YFR025C),0.691967,0.191037,0.127878646,PROTEIN
HOM3 (YER052c),-0.236643,0.211778,0.127959742,PROTEIN
LAC1 (YKL008c),0.219899,0.176988,0.1282465,PROTEIN
RAI1 (YGL246C),0.126847,0.0721773,0.128497186,PROTEIN
RAT1 (YOR048C),-0.111379,0.0484574,0.128653636,PROTEIN
MIC60 (YKR016w),-0.173018,0.115851,0.128685002,PROTEIN
PE(16:0/16:1),-0.0771093,0.0383322,0.129006058,LIPID
PBY1 (YBR094w),0.251124,0.057791,0.129028663,PROTEIN
NAT5 (YOR253w),-0.259688,0.0478431,0.129101156,PROTEIN
BNA5 (YLR231c),-0.427859,0.172136,0.129197964,PROTEIN
NMD5 (YJR132w),-0.246723,0.196171,0.129232372,PROTEIN
PNG1 (YPL096w),0.750615,0.0892287,0.129715696,PROTEIN
MAS1 (YLR163c),0.124483,0.097886,0.130267764,PROTEIN
YPT32 (YGL210W),-0.250205,0.22537,0.130698492,PROTEIN
TOP1 (YOL006c),0.182293,0.13824,0.131146682,PROTEIN
PYK2 (YOR347c),0.613052,0.143634,0.131245316,PROTEIN
GPM2 (YDL021w),1.38866,0.252614,0.131273171,PROTEIN
YDR061W (YDR061w),-0.21177,0.152112,0.131560559,PROTEIN
YBT1 (YLL048c),-0.201862,0.181099,0.131800395,PROTEIN
TSR1 (YDL060w),-0.211198,0.0794489,0.132105175,PROTEIN
MSH3 (YCR092c),0.624546,0.256447,0.132267281,PROTEIN
LNP1 (YHR192w),0.350868,0.314016,0.132318759,PROTEIN
RPP2A (YOL039w),-0.433863,0.335368,0.132373076,PROTEIN
SEC53 (YFL045c),-0.159035,0.0500761,0.13248349,PROTEIN
SRB5 (YGR104c),-0.693599,0.522105,0.132658368,PROTEIN
DUT1 (YBR252w),0.1211,0.0963742,0.132695964,PROTEIN
Unidentified metabolite. RT 5.3056 (R),-0.289725,0.231071,0.132844175,METABOLITE
BRO1 (YPL084W),0.213429,0.168064,0.132877933,PROTEIN
SLK19 (YOR195w),-0.0457903,0.0399691,0.133024461,PROTEIN
YHM2 (YMR241w),-0.385709,0.148025,0.133246811,PROTEIN
Unidentified metabolite. RT 14.7324 (R),0.749454,0.488678,0.133769369,METABOLITE
ECM21 (YBL101c),0.289283,0.260006,0.133973198,PROTEIN
AXL2 (YIL140w),0.631734,0.337089,0.13400657,PROTEIN
YNL217W (YNL217w),-1.1256,0.925382,0.134081836,PROTEIN
RPS10A;RPS10B (YOR293W;YMR230w),-0.325327,0.116098,0.134153083,PROTEIN
UTP20 (YBL004W),-0.0968725,0.0236953,0.134205969,PROTEIN
SEC10 (YLR166c),0.242193,0.145882,0.134264004,PROTEIN
AAH1 (YNL141w),-0.193134,0.0608248,0.134690602,PROTEIN
GIN4 (YDR507c),-0.112857,0.0339083,0.135431216,PROTEIN
RRB1 (YMR131c),-0.199184,0.038918,0.135547083,PROTEIN
YLR257W (YLR257w),-0.203836,0.0428738,0.135953761,PROTEIN
RKM4 (YDR257c),0.165737,0.105686,0.136153626,PROTEIN
LOC1 (YFR001w),-0.272314,0.222967,0.136251974,PROTEIN
ARL1 (YBR164C),0.242718,0.119898,0.136846651,PROTEIN
SEC12 (YNR026c),0.168851,0.151169,0.13692702,PROTEIN
RVS167 (YDR388w),-0.14428,0.0901588,0.13716951,PROTEIN
DIG1 (YPL049c),-0.177847,0.110012,0.137245095,PROTEIN
MNN10 (YDR245w),0.142626,0.125287,0.137928704,PROTEIN
SKI7 (YOR076c),-0.558566,0.508339,0.138220552,PROTEIN
RPL20B;RPL20A (YOR312C;YMR242C),-0.190291,0.118026,0.138378999,PROTEIN
MGE1 (YOR232w),-0.218976,0.0520756,0.138389312,PROTEIN
SCS7 (YMR272c),-0.281522,0.0919312,0.138681082,PROTEIN
CPR5 (YDR304c),-0.454975,0.380177,0.139007679,PROTEIN
MDM10 (YAL010C),-2.65918,0.484628,0.139021691,PROTEIN
DPB4 (YDR121w),-0.385686,0.172249,0.139106433,PROTEIN
ERG3 (YLR056w),0.197408,0.141122,0.139846608,PROTEIN
SBP1 (YHL034c),0.228611,0.15671,0.140116678,PROTEIN
GPI16 (YHR188c),0.159415,0.148084,0.140740083,PROTEIN
ARG82 (YDR173c),0.698971,0.523634,0.140836762,PROTEIN
SSO1 (YPL232w),0.246361,0.174417,0.14099239,PROTEIN
HCH1 (YNL281w),0.311908,0.0163726,0.141128076,PROTEIN
SHE10 (YGL228w),-0.12112,0.0870603,0.141136816,PROTEIN
DIP2 (YLR129w),-0.187286,0.0865249,0.141928484,PROTEIN
RFC2 (YJR068w),-0.144451,0.118779,0.141978717,PROTEIN
GRX3 (YDR098c),-0.20833,0.19744,0.142368419,PROTEIN
SAM50 (YNL026w),-1.84681,1.73481,0.142433208,PROTEIN
YPR091C (YPR091c),0.270073,0.126186,0.142434054,PROTEIN
KTI12 (YKL110c),0.247151,0.107852,0.142674938,PROTEIN
DED1 (YOR204w),-0.158776,0.107538,0.143791589,PROTEIN
YPR172W (YPR172w),0.186122,0.0988685,0.144011268,PROTEIN
MXR2 (YCL033c),-0.301301,0.231679,0.144055305,PROTEIN
LSM4 (YER112w),0.277537,0.157713,0.144291431,PROTEIN
PFY1 (YOR122c),-0.250962,0.222076,0.144301981,PROTEIN
OST1 (YJL002c),-0.197938,0.0630109,0.144575199,PROTEIN
ACB1 (YGR037C),0.200724,0.183287,0.144621591,PROTEIN
YIL002W-A (YIL002w-a),0.697291,0.524634,0.14467803,PROTEIN
HSE1 (YHL002w),0.309211,0.192675,0.144736814,PROTEIN
HOG1 (YLR113w),0.0993922,0.029543,0.1447808,PROTEIN
TOM7 (YNL070W),-0.952562,0.62705,0.144828607,PROTEIN
YJL171C (YJL171c),0.173271,0.0577674,0.145391021,PROTEIN
CAB4 (YGR277c),0.264084,0.206043,0.145710188,PROTEIN
HIR1 (YBL008w),0.0507282,0.0348,0.146085764,PROTEIN
RPL23B;RPL23A (YER117W;YBL087C),-0.249558,0.168974,0.147057389,PROTEIN
TRP5 (YGL026c),0.0939358,0.0146566,0.147178897,PROTEIN
BNA6 (YFR047c),0.301199,0.25371,0.147668435,PROTEIN
YFR016C (YFR016c),0.235516,0.163838,0.147862836,PROTEIN
YGR126W (YGR126w),0.87648,0.329914,0.147906662,PROTEIN
TCO89 (YPL180w),-0.378638,0.312879,0.1479202,PROTEIN
SCP160 (YJL080c),-0.0890451,0.0812095,0.147975388,PROTEIN
YCR061W (YCR061w),-0.952209,0.919606,0.148222573,PROTEIN
GDE1 (YPL110c),-0.109538,0.0982876,0.14878122,PROTEIN
RRP42 (YDL111c),-0.306457,0.292798,0.148784867,PROTEIN
BNA3 (YJL060w),0.301447,0.255052,0.148838461,PROTEIN
GPM1 (YKL152C),0.117488,0.0925297,0.149196783,PROTEIN
RPA34 (YJL148w),-0.329514,0.285909,0.149204411,PROTEIN
TOM70 (YNL121c),0.0969509,0.0532316,0.149496956,PROTEIN
YML096W (YML096w),-0.295924,0.261298,0.149659844,PROTEIN
PCS60 (YBR222c),0.331853,0.171561,0.149766254,PROTEIN
RPN12 (YFR052W),0.250053,0.142625,0.150300835,PROTEIN
VAC14 (YLR386w),0.242143,0.127824,0.150375841,PROTEIN
NTA1 (YJR062c),0.704234,0.248706,0.150384689,PROTEIN
SET2 (YJL168c),-0.448388,0.428468,0.150397307,PROTEIN
RFC5 (YBR087w),-0.212501,0.202084,0.150820263,PROTEIN
YHR045W (YHR045w),0.368956,0.289916,0.151108991,PROTEIN
MRP51 (YPL118w),-0.468189,0.456104,0.151563345,PROTEIN
CL(64:3),-1.0782,0.688017,0.151860211,LIPID
YPR147C (YPR147c),0.360073,0.347075,0.152438192,PROTEIN
PNP1 (YLR209c),0.263153,0.253324,0.153174527,PROTEIN
SRV2 (YNL138w),0.160602,0.13781,0.153558348,PROTEIN
RSC1 (YGR056w),0.227259,0.145114,0.153947755,PROTEIN
RIM1 (YCR028c-a),-0.579447,0.562355,0.154059023,PROTEIN
RPC17 (YJL011c),-0.323939,0.282916,0.154448601,PROTEIN
Unidentified metabolite. RT 14.7383 (F),0.696219,0.486361,0.154801805,METABOLITE
GEA2 (YEL022w),0.145633,0.12001,0.155131578,PROTEIN
LRP1 (YHR081w),-0.379954,0.334975,0.155259758,PROTEIN
MRPL24 (YMR193w),-0.297055,0.126145,0.155562456,PROTEIN
SMC3 (YJL074c),0.0947266,0.0914177,0.156415154,PROTEIN
YOR020W-A (YOR020w-a),0.490953,0.310467,0.156661605,PROTEIN
TKL1 (YPR074C),-0.196289,0.0713113,0.156788693,PROTEIN
PAL1 (YDR348c),-0.177134,0.0666839,0.156891534,PROTEIN
GPD2 (YOL059w),0.2005,0.0413538,0.157426478,PROTEIN
RAD27 (YKL113c),0.145394,0.116229,0.157634421,PROTEIN
GET3 (YDL100c),0.142119,0.119002,0.157736366,PROTEIN
RPL15A (YLR029C),-0.12996,0.106995,0.158170747,PROTEIN
CAF40 (YNL288w),0.276702,0.149259,0.158208835,PROTEIN
CDC14 (YFR028c),-0.354911,0.112636,0.15831972,PROTEIN
MSS51 (YLR203C),-0.673038,0.606522,0.158396945,PROTEIN
Aconitic acid (Z),0.362917,0.266596,0.158610505,METABOLITE
RNQ1 (YCL028w),0.290709,0.139236,0.158633159,PROTEIN
STT4 (YLR305c),-0.279235,0.200491,0.158843841,PROTEIN
FYV8 (YGR196c),0.241442,0.13863,0.158994963,PROTEIN
DBP6 (YNR038w),-0.195078,0.153297,0.158997946,PROTEIN
TCB2 (YNL087w),-0.125685,0.116577,0.159409446,PROTEIN
LSB3 (YFR024c-a),0.16427,0.0716825,0.15958185,PROTEIN
TEF4 (YKL081w),-0.146368,0.0633294,0.159750037,PROTEIN
POM152 (YMR129w),-0.175984,0.144396,0.160356997,PROTEIN
MRP1 (YDR347w),0.196779,0.083696,0.160383749,PROTEIN
ZRT3 (YKL175w),1.80967,1.42227,0.160677747,PROTEIN
ERV2 (YPR037c),-0.334536,0.333161,0.160678486,PROTEIN
NPY1 (YGL067w),0.177628,0.136177,0.160775795,PROTEIN
SSF2 (YDR312w),-0.190588,0.0978632,0.160795266,PROTEIN
TUF1 (YOR187w),0.162895,0.111652,0.161277147,PROTEIN
MIC19 (YFR011c),0.411856,0.320931,0.161917384,PROTEIN
RSM26 (YJR101w),0.124769,0.0349229,0.16222473,PROTEIN
CIN8 (YEL061c),0.429377,0.341952,0.162598365,PROTEIN
TAF8 (YML114c),0.718361,0.304974,0.163324935,PROTEIN
DLD1 (YDL174c),0.187222,0.110695,0.163551729,PROTEIN
RRP45 (YDR280w),-0.163429,0.139107,0.163669174,PROTEIN
MON2 (YNL297c),0.213978,0.143967,0.163680469,PROTEIN
AFG3 (YER017c),-0.827653,0.711615,0.164341416,PROTEIN
GUS1 (YGL245w),-0.134997,0.0341235,0.164600607,PROTEIN
SRP54 (YPR088c),-0.101885,0.071407,0.164727184,PROTEIN
RCO1 (YMR075w),-0.750377,0.714065,0.165803112,PROTEIN
IMG2 (YCR071c),0.925795,0.351277,0.16625307,PROTEIN
SFB3 (YHR098c),-0.26805,0.227541,0.166297576,PROTEIN
HLJ1 (YMR161w),0.251411,0.188944,0.167437186,PROTEIN
MNN11 (YJL183w),-0.155281,0.147253,0.16760475,PROTEIN
TFG2 (YGR005c),-0.167857,0.148693,0.168033152,PROTEIN
YHI9 (YHR029c),0.33343,0.265978,0.168208898,PROTEIN
TAF7 (YMR227c),0.475805,0.372294,0.168383776,PROTEIN
CHO1 (YER026C),-0.204399,0.20214,0.168410857,PROTEIN
DPL1 (YDR294c),0.183562,0.107959,0.168595756,PROTEIN
GIR2 (YDR152w),0.207681,0.212239,0.168892013,PROTEIN
SVP26 (YHR181w),0.169973,0.133116,0.169146415,PROTEIN
ECM31 (YBR176w),-0.418186,0.356967,0.169149328,PROTEIN
CWH41 (YGL027c),0.0656072,0.0323202,0.169251193,PROTEIN
LAP2 (YNL045w),0.135732,0.0897052,0.169723211,PROTEIN
BUD22 (YMR014w),-0.206522,0.0924418,0.169849665,PROTEIN
RVB2 (YPL235w),-0.174768,0.16084,0.170120951,PROTEIN
CYC8 (YBR112C),-0.124353,0.107516,0.170279682,PROTEIN
RPS13 (YDR064W),-0.107205,0.0737305,0.170387495,PROTEIN
SRM1 (YGL097w),0.17967,0.169227,0.170399522,PROTEIN
PTA1 (YAL043c),0.189267,0.0564099,0.170730389,PROTEIN
SEC2 (YNL272c),0.224177,0.107886,0.170751075,PROTEIN
ADH6 (YMR318c),0.174033,0.0980338,0.170806944,PROTEIN
ENT3 (YJR125c),0.165094,0.132033,0.170928708,PROTEIN
NUM1 (YDR150w),0.13675,0.130355,0.171036128,PROTEIN
Unidentified metabolite. RT 18.5041 (F),-0.138655,0.129308,0.171042552,METABOLITE
GRS1 (YBR121C),-0.0985785,0.0962182,0.171066029,PROTEIN
Unidentified metabolite. RT 17.9758 (F),-0.108424,0.0499928,0.171130274,METABOLITE
DRE2 (YKR071c),-0.284211,0.231112,0.171131264,PROTEIN
